"country","healthcareRank","pop2021"
"France","1","65426.1790"
"Italy","2","60367.4770"
"San Marino","3","34.0170"
"Andorra","4","77.3550"
"Malta","5","442.7840"
"Singapore","6","5896.6860"
"Spain","7","46745.2160"
"Oman","8","5223.3750"
"Austria","9","9043.0700"
"Japan","10","126050.8040"
"Norway","11","5465.6300"
"Portugal","12","10167.9250"
"Monaco","13","39.5110"
"Greece","14","10370.7440"
"Iceland","15","343.3530"
"Luxembourg","16","634.8140"
"Netherlands","17","17173.0990"
"United Kingdom","18","68207.1160"
"Ireland","19","4982.9070"
"Switzerland","20","8715.4940"
"Belgium","21","11632.3260"
"Colombia","22","51265.8440"
"Sweden","23","10160.1690"
"Cyprus","24","1215.5840"
"Germany","25","83900.4730"
"Saudi Arabia","26","35340.6830"
"United Arab Emirates","27","9991.0890"
"Israel","28","8789.7740"
"Morocco","29","37344.7950"
"Canada","30","38067.9030"
"Finland","31","5548.3600"
"Australia","32","25788.2150"
"Chile","33","19212.3610"
"Denmark","34","5813.2980"
"Dominica","35","72.1670"
"Costa Rica","36","5139.0520"
"United States","37","332915.0730"
"Slovenia","38","2078.7240"
"Cuba","39","11317.5050"
"Brunei","40","441.5320"
"New Zealand","41","4860.6430"
"Bahrain","42","1748.2960"
"Croatia","43","4081.6510"
"Qatar","44","2930.5280"
"Kuwait","45","4328.5500"
"Barbados","46","287.7110"
"Thailand","47","69950.8500"
"Czech Republic","48","10724.5550"
"Malaysia","49","32776.1940"
"Poland","50","37797.0050"
"Dominican Republic","51","10953.7030"
"Tunisia","52","11935.7660"
"Jamaica","53","2973.4630"
"Venezuela","54","28704.9540"
"Albania","55","2872.9330"
"Seychelles","56","98.9080"
"Paraguay","57","7219.6380"
"South Korea","58","51305.1860"
"Senegal","59","17196.3010"
"Philippines","60","111046.9130"
"Mexico","61","130262.2160"
"Slovakia","62","5460.7210"
"Egypt","63","104258.3270"
"Kazakhstan","64","18994.9620"
"Uruguay","65","3485.1510"
"Hungary","66","9634.1640"
"Trinidad and Tobago","67","1403.3750"
"Saint Lucia","68","184.4000"
"Belize","69","404.9140"
"Turkey","70","85042.7380"
"Nicaragua","71","6702.3850"
"Belarus","72","9442.8620"
"Lithuania","73","2689.8620"
"Saint Vincent and the Grenadines","74","111.2630"
"Argentina","75","45605.8260"
"Sri Lanka","76","21497.3100"
"Estonia","77","1325.1850"
"Guatemala","78","18249.8600"
"Ukraine","79","43466.8190"
"Solomon Islands","80","703.9960"
"Algeria","81","44616.6240"
"Palau","82","18.1690"
"Jordan","83","10269.0210"
"Mauritius","84","1273.4330"
"Grenada","85","113.0210"
"Antigua and Barbuda","86","98.7310"
"Libya","87","6958.5320"
"Bangladesh","88","166303.4980"
"Bosnia and Herzegovina","90","3263.4660"
"Lebanon","91","6769.1460"
"Indonesia","92","276361.7830"
"Iran","93","85028.7590"
"Bahamas","94","396.9130"
"Panama","95","4381.5790"
"Fiji","96","902.9060"
"Benin","97","12451.0400"
"Nauru","98","10.8760"
"Romania","99","19127.7740"
"Saint Kitts and Nevis","100","53.5440"